 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 1274504 161080 243288    0    0     9     1  140   71 26  3 70  0
 1  0      0 1281076 161080 243288    0    0     0     0  563  175 29  3 68  0
 1  0      0 1280804 161080 243288    0    0     0     0  711  193 38  4 59  0
 2  0      0 1277836 161080 243288    0    0     0     0  381   72 29  1 71  0
 2  0      0 1280308 161080 243288    0    0     0     0  794  688 37  8 55  0
 2  0      0 1273372 161080 243288    0    0     0     0  752  590 36  5 59  0
 1  0      0 1280400 161088 243288    0    0     0    28  353  225 39  9 51  1
 2  0      0 1277720 161088 243288    0    0     0     0  456  279 29  2 69  0
 2  0      0 1273124 161088 243288    0    0     0     0  441  235 42  8 50  0
 1  0      0 1280580 161088 243288    0    0     0     0  499  340 27  2 71  0
 1  0      0 1280424 161088 243288    0    0     0     0  732  366 42  7 51  0
 2  0      0 1277092 161088 243288    0    0     0     0  519  310 30  2 68  0
 1  0      0 1280200 161088 243288    0    0     0     0  619  359 36  4 59  0
 2  0      0 1273976 161088 243288    0    0     0    36  570  309 37  4 58  0
 1  0      0 1280160 161088 243288    0    0     0     0  509  274 33  6 61  0
 4  0      0 1275240 161088 243288    0    0     0     0  542  329 35  5 60  0
 3  0      0 1273248 161088 243288    0    0     0     0  788  263 34 16 50  0
 1  0      0 1280656 161088 243288    0    0     0     0  444  305 28  2 70  0
 3  0      0 1273124 161088 243288    0    0     0     0  611  289 35  8 56  0
 1  0      0 1280268 161088 243288    0    0     0     0  557  321 28  3 70  0
 1  0      0 1280556 161088 243288    0    0     0     0  765  362 39  6 55  0
 4  0      0 1274372 161088 243288    0    0     0     0  676  334 32  6 62  0
 1  0      0 1280712 161088 243288    0    0     0     0  492  261 34  6 60  0
 2  0      0 1275108 161088 243288    0    0     0     0  677  359 33  6 60  0
 1  0      0 1280696 161088 243288    0    0     0     0  578  372 38  8 54  0
 4  0      0 1277200 161088 243288    0    0     0     0  527  303 31  3 66  0
 3  0      0 1273604 161088 243288    0    0     0     0  425  219 43 11 46  0
 1  0      0 1280820 161088 243288    0    0     0     0  493  276 29  4 67  0
 4  0      0 1273604 161088 243288    0    0     0     0  567  302 37  4 59  0
 3  0      0 1273588 161088 243288    0    0     0     0   98   84 41 16 44  0
 2  0      0 1280656 161088 243288    0    0     0     0  109   82 13  5 81  0
 2  0      0 1273496 161088 243288    0    0     0     0  616  353 35  3 62  0
 2  0      0 1280796 161088 243288    0    0     0     0  459  251 31  4 64  0
 2  0      0 1274248 161088 243288    0    0     0     0  601  325 34  4 62  0
 1  0      0 1280904 161088 243288    0    0     0     0  578  323 31  6 63  0
 2  0      0 1273620 161088 243288    0    0     0     0  630  346 35  5 60  0
 1  0      0 1280780 161088 243288    0    0     0     0  563  327 29  4 67  0
 5  0      0 1273620 161088 243288    0    0     0     0  517  289 40  4 56  0
 1  0      0 1281028 161088 243288    0    0     0     0  418  222 28  6 66  0
 3  0      0 1274000 161088 243288    0    0     0     0  549  355 34  3 63  0
 1  0      0 1281160 161088 243288    0    0     0     0  492  286 32  7 61  0
 2  0      0 1274372 161088 243288    0    0     0     0  541  307 34  4 63  0
 1  0      0 1280680 161088 243288    0    0     0     0  584  350 30  4 65  0
 3  0      0 1273604 161088 243288    0    0     0     0  524  261 35  5 60  0
 1  0      0 1280556 161088 243288    0    0     0     0  610  343 29  5 66  0
 2  0      0 1273612 161088 243288    0    0     0     0  519  305 36  4 60  0
 1  0      0 1280548 161088 243288    0    0     0     0  432  231 30  3 67  0
 7  0      0 1273488 161088 243288    0    0     0     0  587  348 36  4 60  0
 2  0      0 1280324 161088 243288    0    0     0     0  571  358 29  5 67  0
 3  0      0 1272984 161088 243288    0    0     0     0  629  371 39  4 57  0
 1  0      0 1280904 161088 243288    0    0     0     0  394  273 28  3 69  0
 3  0      0 1273744 161088 243292    0    0     0     0  582  291 37  5 58  0
 1  0      0 1280944 161088 243292    0    0     0     0  637  374 29  4 67  0
 2  0      0 1272876 161088 243292    0    0     0     0  610  337 39  4 57  0
 1  0      0 1280448 161088 243292    0    0     0     0  452  290 23  2 75  0
 4  0      0 1273232 161088 243292    0    0     0     0  552  310 32  6 62  0
 1  0      0 1280820 161096 243284    0    0     0    12  559  372 26  4 69  2
 1  0      0 1280300 161096 243292    0    0     0     0  818  414 38  6 57  0
 2  0      0 1274248 161096 243292    0    0     0     0  515  290 32  3 65  0
 1  0      0 1280548 161096 243292    0    0     0     0  509  304 36  7 57  0
 3  0      0 1276720 161096 243292    0    0     0     0  516  297 31  2 67  0
 2  0      0 1273108 161096 243292    0    0     0     0  366  202 41 10 49  0
 1  0      0 1280820 161096 243292    0    0     0     0  551  361 26  4 70  0
 6  0      0 1273356 161096 243292    0    0     0     0  608  329 44  6 49  0
 2  0      0 1280696 161096 243292    0    0     0     0  519  355 26  2 72  0
 2  0      0 1273108 161096 243292    0    0     0     0  502  245 44  7 48  0
 1  0      0 1280572 161096 243292    0    0     0     0  488  280 27  3 70  0
 3  0      0 1272968 161096 243292    0    0     0     0  597  341 39  7 54  0
 1  0      0 1280540 161096 243292    0    0     0     0  475  274 27  3 71  0
 2  0      0 1273224 161096 243292    0    0     0     0  557  325 44  6 50  0
 1  0      0 1280696 161096 243292    0    0     0     0  582  354 27  4 70  0
 3  0      0 1273216 161096 243292    0    0     0     0  502  251 41  6 53  0
 1  0      0 1280448 161096 243292    0    0     0     0  547  347 27  3 70  0
